1048576..1114111  Supplementary Private Use Area-B
983040..1048575  Supplementary Private Use Area-A
917760..917999  Variation Selectors Supplement
917504..917631  Tags
194560..195103  CJK Compatibility Ideographs Supplement
178208..183983  CJK Unified Ideographs Extension E
177984..178207  CJK Unified Ideographs Extension D
173824..177983  CJK Unified Ideographs Extension C
131072..173791  CJK Unified Ideographs Extension B
129280..129535  Supplemental Symbols and Pictographs
129024..129279  Supplemental Arrows-C
128896..129023  Geometric Shapes Extended
128768..128895  Alchemical Symbols
128640..128767  Transport and Map Symbols
128592..128639  Ornamental Dingbats
128512..128591  Emoticons
127744..128511  Miscellaneous Symbols and Pictographs
127488..127743  Enclosed Ideographic Supplement
127232..127487  Enclosed Alphanumeric Supplement
127136..127231  Playing Cards
127024..127135  Domino Tiles
126976..127023  Mahjong Tiles
126464..126719  Arabic Mathematical Alphabetic Symbols
124928..125151  Mende Kikakui
120832..121519  Sutton SignWriting
119808..120831  Mathematical Alphanumeric Symbols
119648..119679  Counting Rod Numerals
119552..119647  Tai Xuan Jing Symbols
119296..119375  Ancient Greek Musical Notation
119040..119295  Musical Symbols
118784..119039  Byzantine Musical Symbols
113824..113839  Shorthand Format Controls
113664..113823  Duployan
110592..110847  Kana Supplement
93952..94111  Miao
92928..93071  Pahawh Hmong
92880..92927  Bassa Vah
92736..92783  Mro
92160..92735  Bamum Supplement
82944..83583  Anatolian Hieroglyphs
77824..78895  Egyptian Hieroglyphs
74880..75087  Early Dynastic Cuneiform
74752..74879  Cuneiform Numbers and Punctuation
73728..74751  Cuneiform
72384..72447  Pau Cin Hau
71840..71935  Warang Citi
71424..71487  Ahom
71296..71375  Takri
71168..71263  Modi
71040..71167  Siddham
70784..70879  Tirhuta
70400..70527  Grantha
70320..70399  Khudawadi
70272..70319  Multani
70144..70223  Khojki
70112..70143  Sinhala Archaic Numbers
70016..70111  Sharada
69968..70015  Mahajani
69888..69967  Chakma
69840..69887  Sora Sompeng
69760..69839  Kaithi
69632..69759  Brahmi
69216..69247  Rumi Numeral Symbols
68736..68863  Old Hungarian
68608..68687  Old Turkic
68480..68527  Psalter Pahlavi
68448..68479  Inscriptional Pahlavi
68416..68447  Inscriptional Parthian
68352..68415  Avestan
68288..68351  Manichaean
68224..68255  Old North Arabian
68192..68223  Old South Arabian
68096..68191  Kharoshthi
68000..68095  Meroitic Cursive
67968..67999  Meroitic Hieroglyphs
67872..67903  Lydian
67840..67871  Phoenician
67808..67839  Hatran
67712..67759  Nabataean
67680..67711  Palmyrene
67648..67679  Imperial Aramaic
67584..67647  Cypriot Syllabary
67072..67455  Linear A
66864..66927  Caucasian Albanian
66816..66863  Elbasan
66688..66735  Osmanya
66640..66687  Shavian
66560..66639  Deseret
66464..66527  Old Persian
66432..66463  Ugaritic
66384..66431  Old Permic
66352..66383  Gothic
66304..66351  Old Italic
66272..66303  Coptic Epact Numbers
66208..66271  Carian
66176..66207  Lycian
66000..66047  Phaistos Disc
65936..65999  Ancient Symbols
65856..65935  Ancient Greek Numbers
65792..65855  Aegean Numbers
65664..65791  Linear B Ideograms
65536..65663  Linear B Syllabary
65520..65535  Specials
65280..65519  Halfwidth and Fullwidth Forms
65136..65279  Arabic Presentation Forms-B
65104..65135  Small Form Variants
65072..65103  CJK Compatibility Forms
65056..65071  Combining Half Marks
65040..65055  Vertical Forms
65024..65039  Variation Selectors
64336..65023  Arabic Presentation Forms-A
64256..64335  Alphabetic Presentation Forms
63744..64255  CJK Compatibility Ideographs
57344..63743  Private Use Area
56320..57343  Low Surrogates
56192..56319  High Private Use Surrogates
55296..56191  High Surrogates
55216..55295  Hangul Jamo Extended-B
44032..55215  Hangul Syllables
43968..44031  Meetei Mayek
43888..43967  Cherokee Supplement
43824..43887  Latin Extended-E
43776..43823  Ethiopic Extended-A
43744..43775  Meetei Mayek Extensions
43648..43743  Tai Viet
43616..43647  Myanmar Extended-A
43520..43615  Cham
43488..43519  Myanmar Extended-B
43392..43487  Javanese
43360..43391  Hangul Jamo Extended-A
43312..43359  Rejang
43264..43311  Kayah Li
43232..43263  Devanagari Extended
43136..43231  Saurashtra
43072..43135  Phags-pa
43056..43071  Common Indic Number Forms
43008..43055  Syloti Nagri
